QuerySId;SessionSId;UserSId;NoP;NoS;NoA;NoT;NoAtt;NCP;NCS;NCA;NCT;NCAtt;zNoP;zNoS;zNoA;zNoT;zNoAtt;zNCP;zNCF;zNCA;zNCT;zNCAtt;RED;Edit index;Jaccard index;Cosine index;Common fragments index;Common tables index;Vote;ExplorationSId;GroundTruth;ChangeSession
427;9;3;5;2;3;3;9;5;2;3;3;9;1.212371667;-0.482180492;2.79029959;-0.281161332;0.269965799;1.306579457;-0.442326484;2.662753699;0.027568961;0.528319598;3;0.7;0.8125;0.993749462350029;1;0.6;0;10;0;0
428;9;3;4;2;2;3;8;4;2;2;3;8;0.332092548;-0.482180492;1.107176568;-0.281161332;-0.060812608;0.595068306;-0.442326484;1.206826197;0.027568961;0.243093699;2;0.8;0.846153846153846;0.9902815964321;1;0.6;0;10;0;0
429;9;3;5;3;2;4;11;4;2;2;3;8;1.212371667;-0.482180492;1.107176568;0.721008415;0.931522614;0.595068306;-0.442326484;1.206826197;0.027568961;0.243093699;3;0.7;0.785714285714286;0.98975947808112;1;0.6;0;10;0;0
430;9;3;5;3;2;4;11;5;3;2;4;11;1.212371667;-0.482180492;1.107176568;0.721008415;0.931522614;1.306579457;-0.442326484;1.206826197;0.892315358;1.098771396;0;1;1;0.990375136944277;1;0.8;0;10;0;0
431;9;3;4;2;2;3;8;4;2;2;3;8;0.332092548;-0.482180492;1.107176568;-0.281161332;-0.060812608;0.595068306;-0.442326484;1.206826197;0.027568961;0.243093699;3;0.7;0.785714285714286;0.994936676326182;1;0.6;0;10;0;0
432;9;3;5;3;2;4;11;4;2;2;3;8;1.212371667;-0.482180492;1.107176568;0.721008415;0.931522614;0.595068306;-0.442326484;1.206826197;0.027568961;0.243093699;3;0.7;0.785714285714286;0.98975947808112;1;0.6;0;10;0;0
433;9;3;5;3;2;4;11;5;3;2;4;11;1.212371667;-0.482180492;1.107176568;0.721008415;0.931522614;1.306579457;-0.442326484;1.206826197;0.892315358;1.098771396;0;1;1;0.990375136944277;1;0.8;0;10;0;0
434;9;3;5;6;2;4;11;5;3;2;4;11;1.212371667;0.604168694;1.107176568;0.721008415;0.931522614;1.306579457;-0.442326484;1.206826197;0.892315358;1.098771396;3;0.7;0.823529411764706;0.968962790249909;1;0.8;0;10;0;0
435;9;3;5;6;2;4;11;5;6;2;4;11;1.212371667;0.604168694;1.107176568;0.721008415;0.931522614;1.306579457;0.733462277;1.206826197;0.892315358;1.098771396;0;1;1;0.973728991120295;1;0.8;0;10;0;0
436;9;3;5;6;2;4;11;5;6;2;4;11;1.212371667;0.604168694;1.107176568;0.721008415;0.931522614;1.306579457;0.733462277;1.206826197;0.892315358;1.098771396;0;1;1;1;1;0.8;0;10;0;0
